X3,Y3,Z3
-876.5940552,412.8532715,-749.8840942
-876.5813599,412.8199768,-749.9089966
-876.5809937,412.7850647,-749.9171143
-876.590271,412.7486877,-749.9121094
-876.6063843,412.711853,-749.8970947
-876.6271973,412.676239,-749.8734741
-876.6497803,412.6427307,-749.8450317
-876.6699219,412.6107178,-749.8180542
-876.6846313,412.5793152,-749.7979736
-876.6928711,412.548584,-749.7872925
-876.6948242,412.5193176,-749.7865601
-876.6912842,412.4924622,-749.7958984
-876.6831665,412.4684753,-749.8151855
-876.6710815,412.4473877,-749.8449707
-876.6551514,412.428772,-749.8865356
-876.6353149,412.4121094,-749.9412231
-876.6117554,412.3970032,-750.0096436
-876.5862427,412.3834229,-750.0899658
-876.5626831,412.3719788,-750.1768799
-876.5456543,412.3634949,-750.2642212
-876.5357666,412.3580322,-750.3511353
-876.5307617,412.3549194,-750.4411011
-876.5291138,412.3541565,-750.5352173
-876.5319214,412.3563538,-750.6296387
-876.5397339,412.3617554,-750.7192383
-876.5505371,412.3690796,-750.8007813
-876.5689697,412.4024658,-750.8571777
-876.5930176,412.4359436,-750.9089355
-876.645752,412.4441833,-750.9717407
-876.6967163,412.4516907,-751.0352173
-876.7458496,412.4578857,-751.0996704
-876.7932129,412.4624329,-751.1651001
-876.8393555,412.4649658,-751.2315674
-876.8858032,412.465332,-751.2988281
-876.9344482,412.463623,-751.3666992
-876.9865723,412.4602661,-751.4351807
-877.0415039,412.4562988,-751.5039063
-877.2121582,412.4929199,-751.3756714
-877.3822632,412.5297241,-751.2380981
-877.4370117,412.5282898,-751.2587891
-877.4934692,412.5272522,-751.2752686
-877.5501099,412.5251465,-751.2868652
-877.6039429,412.520752,-751.2965088
-877.6533813,412.5141296,-751.3056641
-877.6977539,412.5062256,-751.3137207
-877.7377319,412.4978027,-751.3182983
-877.774231,412.4891968,-751.3170776
-877.8087769,412.4801331,-751.3085327
-877.8425293,412.4697571,-751.2915039
-877.876709,412.4570923,-751.2653809
-877.9122925,412.4413452,-751.2297363
-877.9495239,412.4223022,-751.1849976
-877.987793,412.4000244,-751.1326904
-878.0262451,412.3746338,-751.0748901
-878.0637817,412.346344,-751.0148315
-878.0987549,412.3152466,-750.9568481
-878.1287231,412.2811584,-750.9060059
-878.1506958,412.243103,-750.8677368
-878.1617432,412.199707,-750.8470459
-878.1602783,412.1500244,-750.8475952
-878.1473389,412.0942993,-750.8696289
-878.1273804,412.034729,-750.9080811
-878.1066284,411.9749451,-750.9539185
-878.104126,411.9472656,-750.946106
-878.1080933,411.9428406,-750.9205322
-878.1228638,411.9642029,-750.8713379
-878.1490479,412.0126038,-750.7999878
-878.1876831,412.0896606,-750.7081909
-878.239502,412.1967468,-750.5974731
-878.2994995,412.317688,-750.4759521
-878.397522,412.5335693,-750.3126831
-878.477417,412.7026062,-750.1743774
-878.5354004,412.8612671,-750.0718994
-878.5721436,413.0418091,-750.0089111
-878.593689,413.2736816,-749.9798584
-878.6110229,413.5847473,-749.9706421
-878.6359863,414.0012512,-749.9654541
-878.6777344,414.5476379,-749.953064
-878.742981,415.2473755,-749.9282837
-878.8355713,416.1231079,-749.8922729
-878.9568481,417.1961365,-749.8515015
-879.1063232,418.486084,-749.8136597
-879.2840576,420.0107117,-749.7820435
-879.4915771,421.7853394,-749.7519531
