R_GM,R_ST,R_BF,L_GM,L_ST,L_BF
1.67E-05,2.71E-06,-5.89E-05,-6.74E-06,-2.88E-05,3.17E-05
1.52E-05,5.41E-06,-6.14E-05,-3.88E-06,-3.20E-05,3.34E-05
1.67E-05,3.52E-06,-6.37E-05,-1.49E-06,-3.28E-05,3.30E-05
2.08E-05,-1.53E-06,-6.07E-05,-2.03E-06,-3.18E-05,3.01E-05
2.37E-05,-7.16E-06,-5.15E-05,-3.55E-06,-2.65E-05,2.76E-05
2.28E-05,-1.06E-05,-4.17E-05,-3.88E-06,-1.67E-05,3.08E-05
1.96E-05,-1.15E-05,-3.74E-05,-3.02E-06,-8.17E-06,4.19E-05
1.67E-05,-1.21E-05,-4.07E-05,-4.58E-07,-4.30E-06,5.52E-05
1.58E-05,-1.29E-05,-4.94E-05,3.19E-06,-2.57E-06,6.21E-05
1.64E-05,-1.29E-05,-5.84E-05,5.24E-06,-1.18E-06,6.02E-05
1.63E-05,-1.38E-05,-6.37E-05,4.60E-06,1.49E-06,5.49E-05
1.47E-05,-1.46E-05,-6.43E-05,1.30E-06,6.44E-06,5.28E-05
1.25E-05,-1.20E-05,-6.08E-05,-3.44E-06,8.89E-06,5.43E-05
1.01E-05,-8.82E-06,-5.43E-05,-6.20E-06,4.27E-06,5.45E-05
8.46E-06,-1.00E-05,-4.77E-05,-5.06E-06,-2.78E-06,5.26E-05
8.40E-06,-1.47E-05,-4.44E-05,-5.42E-07,-7.19E-06,5.28E-05
8.78E-06,-1.93E-05,-4.45E-05,4.11E-06,-1.03E-05,5.88E-05
7.63E-06,-2.14E-05,-4.50E-05,5.32E-06,-1.06E-05,7.09E-05
6.55E-06,-2.07E-05,-4.48E-05,3.81E-06,-8.31E-06,8.44E-05
6.83E-06,-1.73E-05,-4.45E-05,7.24E-07,-9.64E-06,9.07E-05
6.66E-06,-1.09E-05,-4.44E-05,-2.99E-06,-1.45E-05,8.67E-05
5.17E-06,-6.42E-06,-4.39E-05,-5.71E-06,-1.87E-05,7.73E-05
3.08E-06,-8.40E-06,-4.35E-05,-6.83E-06,-1.94E-05,6.90E-05
2.05E-06,-1.04E-05,-4.54E-05,-5.21E-06,-1.77E-05,6.50E-05
2.96E-06,-4.25E-06,-4.35E-05,-1.31E-06,-1.99E-05,6.32E-05
4.99E-06,4.42E-06,-3.18E-05,8.70E-07,-2.66E-05,6.40E-05
6.78E-06,9.03E-06,-1.76E-05,-8.36E-07,-2.95E-05,6.64E-05
6.27E-06,1.39E-05,-1.15E-05,-2.43E-06,-2.68E-05,6.75E-05
3.63E-06,1.98E-05,-1.41E-05,-1.16E-07,-2.30E-05,6.65E-05
2.07E-06,2.38E-05,-1.95E-05,2.95E-06,-1.82E-05,6.36E-05
3.22E-06,2.77E-05,-2.51E-05,2.58E-06,-1.35E-05,5.97E-05
4.89E-06,3.15E-05,-2.97E-05,2.21E-06,-1.30E-05,5.45E-05
5.22E-06,3.41E-05,-3.10E-05,5.45E-06,-1.69E-05,4.84E-05
5.70E-06,3.67E-05,-3.00E-05,8.73E-06,-2.14E-05,4.48E-05
8.09E-06,3.94E-05,-3.00E-05,8.35E-06,-2.38E-05,4.65E-05
1.12E-05,4.00E-05,-3.16E-05,5.76E-06,-2.44E-05,5.01E-05
1.28E-05,4.00E-05,-3.34E-05,4.16E-06,-2.52E-05,4.87E-05
1.30E-05,4.04E-05,-3.56E-05,3.65E-06,-2.56E-05,4.06E-05
1.27E-05,4.31E-05,-3.86E-05,2.17E-06,-2.34E-05,2.92E-05
1.25E-05,4.89E-05,-4.21E-05,1.72E-07,-2.09E-05,1.68E-05
1.25E-05,5.34E-05,-4.45E-05,-7.20E-07,-2.25E-05,3.31E-06
1.19E-05,5.40E-05,-4.52E-05,-9.43E-07,-2.41E-05,-1.07E-05
1.05E-05,5.34E-05,-4.21E-05,-6.70E-07,-1.98E-05,-2.23E-05
9.59E-06,5.42E-05,-3.54E-05,-2.86E-07,-1.41E-05,-2.68E-05
9.56E-06,5.99E-05,-2.89E-05,6.97E-08,-1.51E-05,-2.20E-05
9.73E-06,7.13E-05,-2.41E-05,-4.09E-07,-2.08E-05,-1.29E-05
