X3,Y3,Z3
-2023.227417,656.2675171,-757.1729126
-2020.250488,655.9966431,-756.2584229
-2017.138672,655.7927856,-755.2764282
-2013.873291,655.6539917,-754.2209473
-2010.441162,655.5784912,-753.0866699
-2006.840088,655.5650635,-751.8723755
-2003.087402,655.6124878,-750.5860596
-1999.226196,655.7171631,-749.2486572
-1995.330566,655.8704834,-747.8961182
-1991.50647,656.0578003,-746.5770264
-1987.888184,656.2597656,-745.3458252
-1984.627075,656.4533691,-744.2532349
-1980.366333,656.9499512,-742.5950317
-1976.096924,657.6195068,-741.0581055
-1971.637695,658.4747314,-739.5386353
-1967.327026,659.7351685,-738.6573486
-1963.008423,661.0640869,-737.8323975
-1958.671021,662.5518799,-737.112854
-1954.304688,664.2744141,-736.5397949
-1949.901978,666.2841187,-736.1401978
-1945.460449,668.6032715,-735.9215088
-1940.983032,671.2207642,-735.8702393
-1936.478271,674.0935059,-735.9539185
-1931.956299,677.151123,-736.1264038
-1927.428345,680.3034668,-736.3360596
-1922.904785,683.4498901,-736.5318604
-1918.334106,687.3395386,-737.0944214
-1913.766113,691.3510132,-737.6317749
-1909.260986,695.3776855,-737.7147217
-1904.759033,699.4022217,-737.7843628
-1900.260376,703.4248047,-737.8401489
-1895.869629,707.6882324,-738.1361084
-1891.511108,712.1016235,-738.4092407
-1887.122803,716.753418,-738.6955566
-1882.890991,721.6079102,-738.7249146
-1878.431885,726.8062134,-738.7609253
-1873.862183,732.2435913,-738.8162231
-1869.263916,737.8442993,-738.9091797
-1864.687988,743.5537109,-739.055603
-1860.160767,749.3309326,-739.2606201
-1855.69043,755.1463013,-739.5211792
-1851.272217,760.9814453,-739.8307495
-1846.894775,766.8278809,-740.1813354
-1842.544678,772.6842651,-740.5634155
-1838.209839,778.5539551,-740.9662476
-1833.88147,784.4431152,-741.37854
-1829.555542,790.3582153,-741.7883911
-1825.231445,796.3048096,-742.1845093
-1820.910889,802.2861328,-742.5571899
-1816.596436,808.3030396,-742.9005127
-1812.290649,814.3530273,-743.2127075
-1807.994995,820.4302368,-743.4960327
-1803.709106,826.5265503,-743.7557373
-1799.431519,832.6325073,-743.9978027
-1795.161011,838.7385864,-744.2275391
-1790.897583,844.8372803,-744.4492188
-1786.641235,850.9244385,-744.6664429
-1782.393555,856.9995728,-744.8825684
-1778.156982,863.0651855,-745.1012573
-1773.934692,869.1248779,-745.3264771
-1769.729004,875.1812744,-745.5621338
-1765.542236,881.2344971,-745.8114014
-1761.37439,887.2805176,-746.0762939
-1757.224854,893.3113403,-746.3579712
-1753.092896,899.3156128,-746.6569214
-1748.978394,905.2801514,-746.9731445
-1744.882568,911.1907959,-747.3044434
-1740.80835,917.0345459,-747.6469727
-1736.759399,922.8001709,-747.9945068
-1732.73938,928.4814453,-748.3397217
-1728.751465,934.0765381,-748.6738892
-1724.796875,939.588623,-748.9866943
-1720.87561,945.0236206,-749.2670898
-1716.986206,950.3885498,-749.5054321
-1713.126953,955.6896973,-749.6964722
-1709.29834,960.9276123,-749.842041
-1705.505371,966.0906982,-749.9552002
-1701.758789,971.1491089,-750.0625
-1698.071045,976.0604248,-750.2001343
-1694.450806,980.7886963,-750.4016724
-1690.89856,985.3232422,-750.6853027
-1687.410278,989.6796265,-751.0487671
-1683.979492,993.8842773,-751.4749756
-1680.60022,997.9597168,-751.9404297
-1677.265625,1001.921387,-752.4215698
-1673.969116,1005.778748,-752.8982544
-1670.705688,1009.535156,-753.355957
-1667.474365,1013.184753,-753.7873535
-1664.27771,1016.713196,-754.192688
-1661.121948,1020.10553,-754.5769653
-1658.016479,1023.354126,-754.9446411
-1654.971802,1026.459839,-755.2962646
-1651.997681,1029.426392,-755.6304932
-1649.099731,1032.255371,-755.9492798
-1646.278809,1034.946411,-756.2592163
-1643.533447,1037.498047,-756.5699463
-1640.862427,1039.908081,-756.8911133
-1638.266479,1042.173706,-757.2305908
-1635.748291,1044.291382,-757.5935059
-1633.312012,1046.257324,-757.9821777
-1630.960938,1048.067749,-758.3970947
-1628.697876,1049.718872,-758.836731
-1626.524414,1051.209229,-759.296875
-1624.44165,1052.541504,-759.7698975
-1622.45105,1053.723633,-760.2457886
-1620.553833,1054.769287,-760.7147217
-1618.751953,1055.69519,-761.1695557
