LBFT X,LBFT Y,LBFT Z,LLAN X,LLAN Y,LLAN Z,LMAN X,LMAN Y,LMAN Z,RBFT X,RBFT Y,RBFT Z,RLAN X,RLAN Y,RLAN Z,RMAN X,RMAN Y,RMAN Z
-980.9152222,83.76000214,-751.7678223,-924.6013184,118.6059341,-796.1745605,-896.5144043,112.0993652,-721.1171265,-968.8966675,87.97209167,-476.0898438,-921.6815186,124.5592346,-433.7174988,-882.5615234,117.4012756,-503.5994263
-980.9259033,83.77231598,-751.7475586,-924.5792236,118.6237106,-796.1557007,-896.5355835,112.1083069,-721.1157227,-968.9039307,87.96102905,-476.1037903,-921.6911011,124.5795441,-433.742218,-882.5449219,117.4095078,-503.6164856
-980.9107056,83.75857544,-751.7675781,-924.6213989,118.631752,-796.1787109,-896.5299072,112.1177826,-721.1164551,-968.8839722,87.97344971,-476.1071167,-921.6755981,124.5893936,-433.7331238,-882.5776978,117.417099,-503.6168518
-980.913208,83.77803802,-751.7449951,-924.5658569,118.6369095,-796.140564,-896.5465088,112.1295853,-721.1168823,-968.8839111,87.97732544,-476.1239319,-921.6633911,124.5914078,-433.7313843,-882.5229492,117.4277573,-503.6206665
-980.9101563,83.78466034,-751.7475586,-924.560791,118.6478729,-796.1519775,-896.5316162,112.1367722,-721.1104126,-968.8969116,88.00771332,-476.0982666,-921.6544189,124.5984802,-433.7556763,-882.5327759,117.4287262,-503.6064758
-980.9026489,83.79401398,-751.7512817,-924.5527344,118.6867447,-796.1981201,-896.5228271,112.16539,-721.1064453,-968.9032593,88.02519989,-476.108429,-921.6507568,124.6165161,-433.7559509,-882.5249634,117.424614,-503.6259155
-980.8967896,83.80445099,-751.743042,-924.5688477,118.6911087,-796.1779175,-896.5043335,112.1574707,-721.123291,-968.8937378,88.02553558,-476.1089783,-921.6450195,124.6299591,-433.7615967,-882.5164185,117.4151993,-503.6235657
-980.8895264,83.81744385,-751.7407227,-924.5532227,118.6946945,-796.1915894,-896.5200195,112.1822281,-721.1022949,-968.8962402,88.03020477,-476.0917358,-921.6463013,124.624527,-433.7679138,-882.4884033,117.4295349,-503.6281738
-980.8933105,83.84598541,-751.7260742,-924.5738525,118.7428894,-796.230835,-896.5084229,112.1943512,-721.123291,-968.8574829,88.04108429,-476.099823,-921.6287842,124.6359482,-433.7799988,-882.4539185,117.4235916,-503.6262512
-980.8783569,83.82169342,-751.7323608,-924.5244751,118.7686996,-796.2576294,-896.5050049,112.2092819,-721.1170044,-968.8666992,88.0322876,-476.0971985,-921.6378784,124.6458282,-433.7601318,-882.456604,117.4354477,-503.6357422
-980.8815308,83.86042786,-751.7254028,-924.5150757,118.7281494,-796.2574463,-896.5223999,112.2279205,-721.1384277,-968.8528442,88.022995,-476.12146,-921.6370239,124.6462326,-433.8003235,-882.472229,117.4393082,-503.6387939
-980.8952026,83.86470795,-751.7276001,-924.4845581,118.815712,-796.3016968,-896.5332031,112.2267532,-721.1376343,-968.8665161,88.04566193,-476.1231995,-921.6345825,124.6602402,-433.8018494,-882.4625854,117.4296112,-503.6543884
-980.866333,83.86771393,-751.7043457,-924.4294434,118.7832947,-796.2692261,-896.5234985,112.2534637,-721.1201172,-968.857666,88.05923462,-476.1135254,-921.6315918,124.6626129,-433.8174744,-882.4556274,117.4546204,-503.6567688
-980.8544312,83.90129852,-751.71521,-924.4436035,118.8392715,-796.335083,-896.4857178,112.2721634,-721.1373291,-968.8577271,88.05300903,-476.1222229,-921.6216431,124.6565018,-433.8391418,-882.4422607,117.4198303,-503.6456909
-980.8330688,83.91394806,-751.7053833,-924.3671265,118.834816,-796.3422852,-896.4613647,112.3035278,-721.1661987,-968.8555298,88.06993866,-476.1309204,-921.597229,124.6855316,-433.8188782,-882.4239502,117.4235153,-503.6429443
-980.817627,83.93859863,-751.7045288,-924.3305054,118.9217987,-796.3889771,-896.4406128,112.3562012,-721.185791,-968.842041,88.07603455,-476.1227112,-921.6017456,124.6925507,-433.8185425,-882.4193726,117.4302979,-503.6244202
-980.817688,83.96084595,-751.7078247,-924.2478638,118.9752884,-796.399231,-896.4234619,112.3845062,-721.2243652,-968.821167,88.06706238,-476.1246338,-921.5856934,124.7011337,-433.8146057,-882.4102783,117.4387665,-503.6432495
